no,code,name,bracket,NoTournament_id
19,M1,M1,M1,3
20,GSM1,Golden set M1,M1,3
21,M2,M2,M2,3
22,GSM2,Golden set M2,M2,3
23,M3,M3,M3,3
24,GSM3,Golden set M3,M3,3
25,M1,M1,M1,4
26,GSM1,Golden set M1,M1,4
27,M2,M2,M2,4
28,GSM2,Golden set M2,M2,4
29,M3,M3,M3,4
30,GSM3,Golden set M3,M3,4
31,M1,M1,M1,6
32,GSM1,Golden set M1,M1,6
33,M2,M2,M2,6
34,GSM2,Golden set M2,M2,6
35,M3,M3,M3,6
36,GSM3,Golden set M3,M3,6
37,M1,M1,M1,7
38,GSM1,Golden set M1,M1,7
39,M2,M2,M2,7
40,GSM2,Golden set M2,M2,7
41,M3,M3,M3,7
42,GSM3,Golden set M3,M3,7
43,M1,M1,M1,8
44,GSM1,Golden set M1,M1,8
45,M2,M2,M2,8
46,GSM2,Golden set M2,M2,8
47,M3,M3,M3,8
48,GSM3,Golden set M3,M3,8
49,M1,M1,M1,9
50,GSM1,Golden set M1,M1,9
51,M2,M2,M2,9
52,GSM2,Golden set M2,M2,9
53,M3,M3,M3,9
54,GSM3,Golden set M3,M3,9
55,GER,Country quota for GER,,19
56,TUR,Country quota for TUR,,19
57,NED,Country quota for NED,,19
58,I,Round 1,W,19
59,I,Round 1,W,19
60,II,Round 2,W,19
61,R13,Losers are ranked 13th,L,19
62,R9,Losers are ranked 9th,L,19
63,III,Round 3,W,19
64,R7,Losers are ranked 7th,L,19
65,R5,Losers are ranked 5th,L,19
66,SF,Semi-finals,W,19
67,F3,Final 3rd Place,F,19
68,F1,Final 1st Place,F,19
69,NOR,Country quota for NOR,,22
70,I,Round 1,W,22
71,II,Round 2,W,22
72,I,Round 1,W,22
73,II,Round 2,W,22
74,R25,Losers are ranked 25th,L,22
75,R17,Losers are ranked 17th,L,22
76,III,Round 3,W,22
77,R13,Losers are ranked 13th,L,22
78,R9,Losers are ranked 9th,L,22
79,IIII,Round 4,W,22
80,R7,Losers are ranked 7th,L,22
81,R5,Losers are ranked 5th,L,22
82,S,Semifinals,S,22
83,F3,Final 3rd Place,F,22
84,F1,Final 1st Place,F,22
85,AUS,Country quota for AUS,,24
86,USA,Country quota for USA,,24
87,I,Round 1,W,24
88,II,Round 2,W,24
89,III,Round 3,W,24
90,I,Round 1,W,24
91,II,Round 2,W,24
92,R25,Losers are ranked 25th,L,24
93,R17,Losers are ranked 17th,L,24
94,III,Round 3,W,24
95,R13,Losers are ranked 13th,L,24
96,R9,Losers are ranked 9th,L,24
97,IIII,Round 4,W,24
98,R7,Losers are ranked 7th,L,24
99,R5,Losers are ranked 5th,L,24
100,S,Semifinals,S,24
101,F3,Final 3rd Place,F,24
102,F1,Final 1st Place,F,24
103,SWE,Country quota for SWE,,30
104,NOR,Country quota for NOR,,30
105,I,Round 1,W,30
106,II,Round 2,W,30
107,III,Round 3,W,30
108,I,Round 1,W,30
109,II,Round 2,W,30
110,R25,Losers are ranked 25th,L,30
111,R17,Losers are ranked 17th,L,30
112,III,Round 3,W,30
113,R13,Losers are ranked 13th,L,30
114,R9,Losers are ranked 9th,L,30
115,IIII,Round 4,W,30
116,R7,Losers are ranked 7th,L,30
117,R5,Losers are ranked 5th,L,30
118,S,Semifinals,S,30
119,F3,Final 3rd Place,F,30
120,F1,Final 1st Place,F,30
121,BRA,Country quota for BRA,,32
122,GER,Country quota for GER,,32
123,SWE,Country quota for SWE,,32
124,I,Round 1,W,32
125,II,Round 2,W,32
