code,name,start_date,end_date,no,version
BVB-SHA2014,Shanghai PPTV Grand Slam,2014-04-29,2014-05-04,154,3520.0
BVB-PUE2014,Puerto Vallarta Open,2014-05-06,2014-05-11,155,3896.0
BVB-STA2014,Stavanger Grand Slam,2014-06-24,2014-06-29,156,3757.0
BVB-GST2014,Gstaad Grand Slam,2014-07-08,2014-07-13,157,3879.0
BVB-HAG2014,The Hague Transavia Grand Slam,2014-07-15,2014-07-20,158,4075.0
BVB-MOS2014,Moscow Grand Slam,2014-06-11,2014-06-15,159,4501.0
BVB-FUZ2014,Fuzhou Open,2014-04-22,2014-04-27,160,4479.0
BVB-SAO2014,Sao Paulo Grand Slam,2014-09-23,2014-09-28,161,4187.0
BVB-PRA2014,Prague Open,2014-05-21,2014-05-25,162,5329.0
BVB-ANA2014,Anapa Open,2014-05-27,2014-06-01,163,3658.0
BVB-BER2014,Berlin smart Grand Slam,2014-06-17,2014-06-22,164,3797.0
BVB-LOB2014,ASICS World Series of Beach Volleyball,2014-07-22,2014-07-27,165,4019.0
BVB-STJ2014,Stare Jablonki Grand Slam,2014-08-19,2014-08-24,166,4063.0
BVB-PHU2014,Phuket Open,2014-10-15,2014-10-19,167,2495.0
BVB-XIA2014,Xiamen Open,2014-10-07,2014-10-12,168,4492.0
BVB-PAR2014,Parana Open,2014-10-28,2014-11-02,169,4454.0
BVB-DOH2014,Doha Open,2014-11-04,2014-11-08,170,4414.0
BVB-DUR2014,Mangaung Open,2014-12-09,2014-12-14,171,4472.0
BVB-U232014,"U23 World Championships, Poland 2014",2014-06-10,2014-06-15,172,3436.0
BVB-U212014,"U21 World Championships, Larnaka 2014",2014-07-23,2014-07-27,173,3969.0
BVB-U192014,"U19 World Championships, Porto 2014",2014-07-29,2014-08-03,174,4045.0
BVB-KLA2014,Klagenfurt A1 Grand Slam,2014-07-29,2014-08-03,175,4408.0
BVB-U172014,"U17 World Championships, Mexico 2014",2014-07-15,2014-07-20,176,3917.0
BVB-REU2014,La Réunion Open,2014-12-03,2014-12-07,178,4006.0
YOG2014,2014 Nanjing Youth Olympic Games,2014-08-17,2014-08-27,179,4074.0
BVB-CHE2014,Vizag Open,2014-11-25,2014-11-30,180,4381.0
BVB-LAU2014,Lausanne 2014,2014-06-26,2014-06-29,200,1.0
BVB-BIE2014,Biel/Bienne Masters,2014-08-07,2014-08-10,201,1.0
BVB-VAD2014,Vaduz 2014,2014-08-06,2014-08-10,202,4053.0
BVB-NED2015,FIVB Beach Volleyball World Championships 2015,2015-06-26,2015-07-05,222,5609.0
BVB-PAT2014,Pattaya Challenger,2014-11-05,2014-11-09,224,4455.0
BVB-BAK2014,CEV Baku Masters 2014,2014-09-10,2014-09-13,225,1.0
BVB-STU2014,CEV Stuttgart Satellite 2014,2014-09-11,2014-09-11,226,1.0
BVB-FUZ2015,Fuzhou Open,2015-04-21,2015-04-26,228,5173.0
BVB-LUC2015,Lucerne Open,2015-05-12,2015-05-17,229,5326.0
BVB-PRA2015,Prague Open,2015-05-20,2015-05-24,230,5640.0
BVB-MOS2015,Moscow Grand Slam,2015-05-26,2015-05-31,231,5344.0
BVB-POR2015,Porec MAJOR,2015-06-02,2015-06-07,232,5467.0
BVB-STP2015,St. Petersburg Grand Slam,2015-06-16,2015-06-21,233,5541.0
BVB-GST2015,Gstaad MAJOR,2015-07-07,2015-07-12,234,6530.0
BVB-YOK2015,Yokohama Grand Slam,2015-07-21,2015-07-26,235,5600.0
BVB-ANT2015,Antalya Open,2015-10-20,2015-10-25,236,6164.0
BVB-LOB2015,Long Beach Grand Slam,2015-08-18,2015-08-23,237,5746.0
BVB-POL2015,Olsztyn Grand Slam,2015-08-25,2015-08-30,238,5880.0
BVB-RIO2015,Rio de Janeiro Open,2015-09-02,2015-09-06,239,6146.0
BVB-SOC2015,Sochi Open,2015-09-08,2015-09-13,240,5981.0
BVB-XIA2015,Xiamen Open,2015-09-22,2015-09-27,241,6073.0
BVB-SSF2015,Ft. Lauderdale Swatch Beach Volleyball FIVB World Tour Finals,2015-09-29,2015-10-04,242,6148.0
BVB-PUR2015,Puerto Vallarta Open,2015-10-06,2015-10-11,243,6149.0
BVB-THA2015,Thailand Open,2015-11-04,2015-11-08,244,4768.0
BVB-DOH2015,Qatar Open,2015-11-09,2015-11-13,245,6223.0
BVB-MAN2015,Mangaung Open,2015-12-08,2015-12-13,246,5607.0
BVB-STA2015,Stavanger MAJOR,2015-06-09,2015-06-14,247,5571.0
BVB-CEV-CCUP-R3B15,CEV Continental Cup Round 3 - Pool B,2015-04-30,2015-05-01,262,5283.0
BVB-CEV-CCUP-R3A15,CEV Continental Cup Round 3 - Pool A,2015-05-02,2015-05-03,263,5328.0
BVB-CEV-CCUP-R3E15,CEV Continental Cup Round 3 - Pool E,2015-05-01,2015-05-03,264,1.0
BVB-CEV-CCUP-R3D15,CEV Continental Cup Round 3 - Pool D,2015-05-09,2015-05-10,265,1.0
BVB-CEV-CCUP-R3G15,CEV Continental Cup Round 3 - Pool G,2015-05-09,2015-05-10,266,1.0
BVB-CEV-FRA2015,WEVZA - Zonal Event - Montpellier,2015-06-25,2015-06-28,297,1.0
BVB-VAD2015,Vaduz 2015,2015-07-08,2015-07-12,298,1.0
BVB-CEV-KLA2015,2015 CEV Beach Volleyball ECH Final,2015-07-27,2015-08-02,302,1.0
BVB-CEV-BIE2015,2015 CEV Beach Volleyball Biel/Bienne Masters,2015-08-05,2015-08-09,303,1.0
BVB-CEV-TIM2015,2015 CEV Beach Volleyball Satellite Timisoara,2015-08-12,2015-08-16,304,1.0
