name,no
Prokopiev/Kuzmichev,1
Heese/Cadieux,2
Bosma/Ortiz,3
Nalbert/Dulinski,4
Kjemperud/Skarlund,5
Blanton/Wong,6
Rogers/Scott,7
Vallejo/Vallejo J.,8
Maia/Brenha,9
Ibarra/Hernandez,10
Heyer/Laciga P.,11
Rossell/Villar,12
Alvarez/Ramirez Bernal,13
Berger N./Doppler,14
Kais Kr./Vesik,15
Canet/Hamel,16
Nowotny/Gartmayer,17
Berg /Svensson R.,18
Hoidalen/Oevergaard,19
Galli F./Tomatis,20
Lione/Varnier,21
Ricardo/Emanuel,22
Salim/Koko,23
Leinemann/Van Huizen,24
Baracetti/Conde,25
Egger M./Laciga M.,26
Marcio Araujo/Fabio Luiz,27
Morikawa/Shiratori,28
Papaleo Pérez/Hernandez,29
Supriadi/Ardiansyam,30
Fischer/Mihalic,31
Razo/Miramontes,32
Heuscher/Kobel,33
Cès K./Dugrip,34
Benjamin/Harley,35
Horrem/Pettersen E.P.,36
Shiratori/Nishimura,37
Medrano/Vargas,38
Amore/Rousek,39
Barsuk/Arkaev,40
Hauser/Lelliott,41
Boersma E./Ronnes,42
Nausch/Steinöcker,43
"Gosch/Strauss, B.",44
Michalopoulos/Xenakis,45
Vorobvev/Zabuslayev,46
Rado/Litva,47
Klemperer/Koreng,48
Reckermann/Dieckmann M.,49
Herrera/Mesa,50
Chikovani/Lobzhanidze,51
Salvetti/Caravano,52
Pitman/Lochhead,53
Tomatis/Mercanti,54
Tomatis/Fenili,55
Cunha/Franco,56
Schnider/Gscheidle,57
Karpukhin/Kalinine,58
Nishimura/Yamamoto,59
Asahi/Watanabe,60
Woods Merren/Baide,61
Polte/Schoen,62
Xu/Wu,63
Ontiveros/Ontiveros,64
Huth/Uhmann,65
Koshkarev/Prokopiev,66
Flores/Macias,67
De Gruijter/Ronnes,68
Mussa/Hernandez Colina,69
Gibb/Metzger,70
Villalpando/Sarfati,71
Ellingson/Montgomery,72
Gagliano/Daguerre,73
Tchernichov/Cavaliere,74
Eremin/Kolodinskiy,75
Rojo/Guzman,76
Villegas/Villegas,77
Araya/Guevara,78
Colosio/Islas,79
Becherano/Rill,80
Arias/Jimenez,81
Morales/Corominas,82
Heese/Cadieux,83
Kjemperud/Skarlund,84
Rogers/Dalhausser,85
Maia/Brenha,86
Alvarez/Villar,87
Berger N./Gartmayer,88
Canet/Hamel,89
Hoidalen/Goranson K.,90
Wong/Scott,91
Galli F./Raffaelli,92
