code,name,federation_code,no,gender,noevent,start_date,end_date
BVISTEST,Officials training Test event 00,SUI,2,0,343,2023-10-04,2023-10-05
CCSZCAAM,Sub Zonal Tournament of Central Asia Pool A,IND,3,0,0,2010-09-25,2010-09-26
CCSZCAAW,Sub Zonal Tournament of Central Asia Pool A,IND,4,1,0,2010-09-25,2010-09-26
CCSZCABM,Sub Zonal Tournament of Central Asia Pool B,IRI,5,0,0,2011-03-02,2011-03-04
CCSZEAAM,Sub Zonal Tournament of Eastern Asia Pool A,CHN,6,0,0,2010-10-19,2010-10-20
CCSZEAAW,Sub Zonal Tournament of Eastern Asia Pool A,CHN,7,1,0,2010-10-19,2010-10-20
CCSZEABM,Sub Zonal Tournament of Eastern Asia Pool A,TPE,8,0,0,2010-12-24,2010-12-26
CCSZEABW,Sub Zonal Tournament of Eastern Asia Pool A,TPE,9,1,0,2010-12-24,2010-12-26
CCSZOABM,Sub Zonal Tournament of Oceania Asia Pool B,VAN,10,0,0,2011-05-19,2011-05-21
CCSZOABW,Sub Zonal Tournament of Oceania Asia Pool B,VAN,11,1,0,2011-05-19,2011-05-21
CCSZOACM,Sub Zonal Tournament of Oceania Asia Pool C,SAM,12,0,0,2011-05-23,2011-05-27
CCSZOACW,Sub Zonal Tournament of Oceania Asia Pool C,SAM,13,1,0,2011-05-23,2011-05-27
CCSZSAAM,Sub Zonal Tournament of Southeastern Asia ,THA,14,0,0,2010-12-01,2010-12-03
CCSZSAAW,Sub Zonal Tournament of Southeastern Asia,THA,15,1,0,2010-12-01,2010-12-03
HANDOVER,FIVB Presidency Handover Ceremony,CHN,18,0,0,2008-08-24,2008-08-24
MAAL2011,Aalsmeer,NED,19,0,0,2011-01-07,2011-01-09
MACA1999,Acapulco,MEX,20,0,0,1999-04-09,1999-04-11
MACA2005,Acapulco,MEX,21,0,0,2005-10-26,2005-10-29
MACA2006,Acapulco,MEX,22,0,0,2006-10-25,2006-10-28
MACA2007,Acapulco,MEX,23,0,0,2007-10-24,2007-10-28
MADE2008,Adelaide,AUS,24,0,0,2008-03-27,2008-03-30
MAGR1996,Agrigento,ITA,25,0,0,1996-08-26,1996-08-28
MALA1996,Alanya,TUR,26,0,0,1996-05-31,1996-06-02
MALA1997,Alanya,TUR,27,0,0,1997-08-29,1997-08-31
MALA1998,Alanya,TUR,28,0,0,1998-09-11,1998-09-13
MALA2005,Alba Adriatica,ITA,29,0,0,2005-07-23,2005-07-24
MALA2007,Aland,FIN,30,0,0,2007-08-16,2007-08-19
MALA2008,Aland,FIN,31,0,0,2008-09-03,2008-09-07
MALA2009,Aland,FIN,32,0,0,2009-08-20,2009-08-23
MALA2010,Aland,FIN,33,0,0,2010-08-19,2010-08-22
MALA2011,Aland,FIN,34,0,0,2011-08-18,2011-08-21
MALB1997,Albena,BUL,35,0,0,1997-08-23,1997-08-24
MALB1998,Albena,BUL,36,0,0,1998-08-21,1998-08-23
MALM1991,Almeria,ESP,37,0,0,1991-08-07,1991-08-11
MALM1992,Almeria,ESP,38,0,0,1992-08-12,1992-08-15
MANA2011,Anapa,RUS,39,0,0,2011-02-25,2011-02-27
MATH2003,Athens,GRE,40,0,0,2003-08-19,2003-08-24
MATH2004,Athens,GRE,41,0,0,2004-08-14,2004-08-25
MATH2005,Athens,GRE,42,0,0,2005-09-01,2005-09-04
MATL1996,Atlanta,USA,43,0,0,1996-07-23,1996-07-28
MAUT2009,Baden,AUT,44,0,0,2009-06-05,2009-06-07
MBAI2005,Buenos Aires,ARG,45,0,0,2005-10-15,2005-10-16
MBAL1995,Bali,INA,46,0,0,1995-09-22,1995-09-24
MBAL2007,Bali,INA,47,0,0,2007-10-31,2007-11-04
MBAU1995,La Baule,FRA,48,0,0,1995-08-24,1995-08-26
MBCN2008,Barcelona,ESP,49,0,0,2008-05-29,2008-06-01
MBEI2001,Beirut,LIB,50,0,0,2001-07-13,2001-07-15
MBEI2008,Beijing,CHN,51,0,0,2008-08-09,2008-08-24
MBEI2011,Beijing,CHN,52,0,0,2011-06-08,2011-06-11
MBER1995,Berlin,GER,53,0,0,1995-06-30,1995-07-02
MBER1996,Berlin,GER,54,0,0,1996-07-05,1996-07-07
MBER1997,Berlin,GER,55,0,0,1997-07-04,1997-07-06
MBER1998,Berlin,GER,56,0,0,1998-07-03,1998-07-05
MBER1999,Berlin,GER,57,0,0,1999-07-02,1999-07-04
MBER2001,Berlin,GER,58,0,0,2001-06-29,2001-07-01
MBER2002,Berlin,GER,59,0,0,2002-06-14,2002-06-16
MBER2003,Berlin,GER,60,0,0,2003-06-26,2003-06-29
MBER2004,Berlin,GER,61,0,0,2004-06-24,2004-06-27
MBER2005,Berlin,GER,62,0,0,2005-06-22,2005-06-26
MBER2007,Berlin,GER,63,0,0,2007-07-12,2007-07-15
MBER2008,Berlin,GER,64,0,0,2008-06-12,2008-06-15
MBER2009,Berlin,GER,65,0,0,2009-06-19,2009-06-21
MBER2010,Berlin,GER,66,0,0,2010-08-12,2010-08-15
MBLA2009,Blackpool,ENG,67,0,0,2009-09-11,2009-09-13
MBRA2009,Brasilia,BRA,68,0,0,2009-04-23,2009-04-26
MBRA2010,Brasilia,BRA,69,0,0,2010-04-22,2010-04-25
MBRA2011,Brasilia,BRA,70,0,0,2011-04-20,2011-04-23
MBRN2006,Brno,CZE,71,0,0,2006-05-26,2006-05-28
MBRN2007,Brno,CZE,72,0,0,2007-06-29,2007-07-01
MBRN2008,Brno,CZE,73,0,0,2008-07-04,2008-07-06
MBUD2004,Budva,SCG,74,0,0,2004-05-28,2004-05-30
MCAB2003,Pattaya,THA,75,0,0,2003-08-28,2003-08-31
MCAD2002,Cadiz Open,ESP,76,0,0,2002-08-09,2002-08-11
MCAG1991,Cap d'Agde,FRA,77,0,0,1991-07-25,1991-07-28
MCAG1999,Cagliari,ITA,78,0,0,1999-06-25,1999-06-27
MCAG2005,Cagliari,ITA,79,0,0,2005-07-02,2005-07-03
MCAG2006,Cagliari,ITA,80,0,0,2006-09-02,2006-09-04
MCAP2004,Cape Town,RSA,81,0,0,2004-03-25,2004-03-28
MCAP2005,Cape Town,RSA,82,0,0,2005-11-24,2005-11-27
MCAR1994,Carolina,PUR,83,0,0,1994-08-17,1994-08-21
MCAR1995,Carolina,PUR,84,0,0,1995-11-10,1995-11-12
MCAR1996,Carolina,PUR,85,0,0,1996-10-18,1996-10-20
MCAR2004,Carolina,PUR,86,0,0,2004-06-11,2004-06-13
MCAS2004,Casablanca,MAR,87,0,0,2004-07-24,2004-07-25
MCAS2005,Casablanca,MAR,88,0,0,2005-07-23,2005-07-24
MCAS2006,Casablanca,MAR,89,0,0,2006-07-29,2006-07-30
MCAT1991,Catolica,ITA,90,0,0,1991-07-29,1991-08-04
MCAT2002,Catania,ITA,91,0,0,2002-07-11,2002-07-14
MCAT2004,Cattolica,SMR,92,0,0,2004-07-23,2004-07-24
MCAT2010,CEV - U20 - Catania,ITA,93,0,0,2010-07-08,2010-07-11
MCC10AA1,CAVB Continental Cup - Group A,SEN,94,0,0,2011-01-08,2011-01-10
MCC10AA2,CAVB Continental Cup - Group A,SLE,95,0,0,2011-01-14,2011-01-15
MCC10AB1,CAVB Continental Cup - Group B,BEN,96,0,0,2010-10-31,2010-10-31
MCC10AB2,CAVB Continental Cup - Group B ,TOG,97,0,0,2010-11-06,2010-11-07
MCC10AC2,CAVB Continental Cup - Group C,CMR,98,0,0,2011-01-27,2011-01-29
MCC10AD1,CAVB Continental Cup - Group D,RWA,99,0,0,2010-12-04,2010-12-04
MCC10AD2,CAVB Continental Cup - Group D,SUD,100,0,0,2010-12-24,2010-12-25
MCC10AE1,CAVB Continental Cup - Group E,NAM,101,0,0,2011-01-23,2011-01-23
MCC10AE2,CAVB Continental Cup - Group E,MOZ,102,0,0,2011-02-04,2011-02-06
MCC10EUA,Mellieha,MLT,103,0,0,2010-09-05,2010-09-05
