federation_code,first_name,last_name,no,nationality,gender
ITA,Katarina,Bulovic,10001,,1
CAN,John,Child,100002,,0
NZL,Leigh,Cockerill,100003,,1
ENG,Audrey,Cooper,100004,,1
CAN,"Edward Raymond ""Eddie""",Drakich,100005,,0
ITA,Andrea,Ghiurghi,100006,,0
CUB,"Lazara ""Lachi""",Gonzalez,100007,,1
ITA,"Nicola ""Grigolinho""",Grigolo,100008,,0
DEN,Glen,Hytoft,100009,,0
USA,"Adam ""A.J.""",Johnson,100010,,0
USA,"Karolyn ""KK""",Kirby,100012,,1
JPN,Kimie,Kanda,100013,,1
GER,Tina,Klappenbach,100014,,1
AUT,Hannes,Kronthaler,100015,,0
NOR,Jan,Kvalheim,100016,,0
ITA,"Dionisio ""Dio""",Lequaglie,100017,,0
ARG,"Eduardo Esteban ""Mono""",Martinez,100018,,0
USA,"Elizabeth ""Liz""",Masakayan,100019,,1
ESP,"José Javier ""Javi""",Yuste Muniz,100020,,0
BRA,"Paulo Roberto ""Paulão""",Moreira da Costa,100021,,0
JPN,Kazumi,Nakajima,100022,,1
JPN,Jun,Ogawa,100024,,0
AUS,"Anita ""Neet""",Spring (Palm),100025,,1
AUS,"Julien ""Thunder""",Prosser,100026,,0
AUT,Stefan,Potyka,100027,,0
CUB,Nivris,Rojas,100028,,1
SUI,Hanspeter,Sacher,100029,,0
JPN,Shingo,Sakai,100030,,0
ITA,"Marco ""Sollu""",Solustri,100032,,0
NZL,Claire,Stewart,100033,,1
GER,Christian,Tiemann,100035,,0
AUS,Jacqui or Jac,Vukosa,100037,,1
SUI,"Christian ""Chrigi""",Wandeler,100038,,0
GER,Cordula,Borger,100039,,1
AUS,"Andrew ""Andy""",Burdin,100040,,0
INA,"Muchammad ""Mufid""",Nurmufid,100041,,0
INA,"Akhmad ""Didik""",Junaidi,100042,,0
BRA,Carlos Eduardo,Dias Garrido,100043,,0
BRA,Roberto,Duarte Dias Moreira,100044,,0
NED,Paul,Hamelink,100045,,0
NED,John,Stubbe,100046,,0
RUS,Serguei,Prokopiev,100047,,0
RUS,Rushan,Dayanov,100048,,0
NZL,Glenn,Hamilton,100049,,0
NZL,Reid,Hamilton,100050,,0
USA,"Troy ""T2""",Tanner  SUSPENDED,100051,,0
USA,"Daniel or Dan ""Verb""",Vrebalovich,100052,,0
JPN,"Kazuyuki ""Takye""",Takao,100053,,0
JPN,Koichiro,Kanno,100054,,0
JPN,Shoji,Setoyama,100055,,0
JPN,Chikashi,Kawai,100056,,0
JPN,Hiroshi,Seki,100057,,0
JPN,Takeshi or Satoshi,Matsumoto,100058,,0
BRA,Franco José,Vieira Neto,100059,,0
BRA,Roberto,Lopes da Costa,100060,,0
GER,Alexandra,Bruhn,100061,,1
AUS,Lisa Narelle,Willcocks,100062,,1
AUS,"Christine Eleanor  ""Chris""",Wilson,100063,,1
USA,Roger,Clark,100064,,0
AUS,Paul,Smith,100065,,0
AUT,Marcelo,Gerevini,100066,,0
BEL,Bruno,Flour,100067,,0
BRA,Roseliane,dos Santos,100068,,1
BRA,Roseli Ana,Timm,100069,,1
ESP,Monica Batalle,Del Prado,100070,,1
ESP,Liliana Solis,Diaz,100071,,1
ESP,Immaculada,Gonzalez Casado,100072,,1
ESP,Virginia Tapia,Cardona,100073,,1
USA,Nancy,Reno,100074,,1
USA,"Angela ""The Rock""",Rock,100075,,1
HUN,Gyöngyi,Polanyi,100076,,1
HUN,Jurdit,Danada,100077,,1
GER,Bernhard,Hoffman,100079,,0
AUS,Mark,Janssens,100080,,0
AUS,Michael,Janssens,100081,,0
AUS,Joel,Durrant,100082,,0
BRA,Andrè,Lima Perlingeiro,100083,,0
USA,"Dwight ""Wally""",Goodrick,100087,,0
CAN,Mark,Heese,100088,,0
CAN,Mike,Chaloupka,100089,,0
CUB,Eugenio Telles,Ortiz,100090,,0
CUB,Osvaldo Agustin,Archer Abreu,100091,,0
CUB,Juan Carlos,Perdomo,100092,,0
CUB,"Wilfredo ""Sombra""",Garcia Rizo,100093,,0
DEN,Kim,Kaszas,100094,,0
ESP,Antonio Anson,Alemany,100095,,0
ESP,Javier,Bosma Minguez,100096,,0
ESP,Berenguel,Segura,100097,,0
ESP,Miguel Angel,Martin Prieto,100098,,0
USA,Randolph or Randy,Stoklos,100099,,0
USA,"Christopher St. John ""Sinjin""",Smith,100100,,0
USA,Steve,Timmons,100101,,0
USA,Steve,Obradovich,100102,,0
FRA,Christian,Penigaud,100103,,0
FRA,"Jean-Philippe ""JP""",Jodard,100104,,0
FRA,Jean Christophe,Jullien,100105,,0
ITA,"Ennio ""Jordan""",Giordani,100106,,0
ITA,"Riccardo ""Richie""",Marchiori,100107,,0
JPN,Shiuchi,Sawada,100108,,0
JPN,Minoru,Kuwabara,100109,,0
NOR,Björn,Maaseide,100110,,0
RUS,Alexander,Iaremenko,100111,,0
RUS,Igor,Gordeev,100112,,0
RUS,Andrei,Gorbenko,100114,,0
FRA,Marc,Conre,100115,,0
AUS,K.,Cranley,100117,,0
AUS,Darren,Donaldson,100118,,0
AUS,Geoff,Hart,100119,,0
AUS,Edi,Vukosa,100120,,0
AUS,Robert,Agnew,100121,,0
AUS,S.,Yudelevich,100122,,0
JPN,N.,Aihara,100125,,0
JPN,Mikiyo or Mikio,Tada,100126,,0
PHI,O.,Patricio,100128,,0
AUS,"Peter ""Chook""",Hreszczuk,100129,,0
AUS,Gabriel,Mauerhofer,100130,,0
USA,"Tim ""The Hov""",Hovland  SUSPENDED,100131,,0
USA,Kent,Steffes,100132,,0
USA,"Michael ""Mike""",Dodd,100133,,0
USA,Jon,Stevenson,100134,,0
BRA,Marlos,Cogo de Almeida,100135,,0
BRA,Marco,Tullio Gomes Teixeira,100136,,0
BRA,Atila,Pereira de Souza,100138,,0
BRA,Clovis Antonio,Freitas Baptista,100139,,0
BRA,"Eduardo Jorge ""Anjinho""",Bacil Filho,100140,,0
CAN,John,Canjar,100144,,0
CHI,Allan,Jarry,100147,,0
ARG,Martin Alejo,Conde,100148,,0
ARG,Horacio,Taccone,100149,,0
PUR,"Willie ""El Toro""",De Jesus Torres,100151,,0
ESP,Jaime,Barros Fernandez,100152,,0
ESP,Raul,Llopard,100153,,0
USA,John,Eddo,100154,,0
FRA,Jean C.,Gaston,100156,,0
FRA,Olivier or Philippe,Rossard,100157,,0
GER,Burkhard,Sude,100158,,0
GER,Christian,Voss,100159,,0
USA,Doug,Foust,100160,,0
USA,Steve,Krai,100161,,0
FRA,"Eric ""La Bouve""",Bouvier,100162,,0
FRA,...,Guerber,100163,,0
GER,...,Kuchenhoff,100164,,0
GER,...,Schweigler,100165,,0
FRA,"Thierry  ""The Glove""",Glowacz,100166,,0
ESP,Sixto,Jimenez,100167,,0
ITA,Gianni,Mascagna,100168,,0
USA,Bill,Suwara,100170,,0
ITA,"Franco ""Mano di Pietra""",Bertoli,100171,,0
ITA,Alessandro,Rigo,100175,,0
ITA,Giovanni,Errichiello,100176,,0
ITA,"Stefano ""Scozz""",Pascucci,100177,,0
ITA,Mirko,Castagnoli,100178,,0
ITA,Davide,Sanguanins,100179,,0
USA,"Alan P. ""Big Al""",Janc,100180,,0
BRA,Guilherme Luiz,Marques,100182,,0
JPN,Yasumasu,Tanaka,100186,,0
JPN,Kazufumi,Yamamoto,100187,,0
USA,George,Carey,100188,,0
AUS,Bruce,Surman,100189,,0
AUS,Andrew,Molo,100190,,0
PUR,Edwin,Fernandez,100191,,0
PUR,Rick,Amon,100192,,0
AUS,Jeff,Grocott,100193,,0
AUS,Eddy,Deaman,100194,,0
AUS,Greg,Duff,100195,,0
ENG,Andy,Cranstone,100196,,0
ENG,"Ian ""Billy""",Fairclough,100197,,0
AUS,Paul,Frisby-Smith,100198,,0
AUS,Mark,Frisby-Smith,100199,,0
ITA,Fulvio,Di Prinzio,100200,,0
SUI,Martin,Walser,100201,,0
CAN,"Brian ""Gatz""",Gatzke,100203,,0
CHI,Klaus,Klaus,100204,,0
BRA,Gustavo,Ciraldo Maximo,100205,,0
BRA,Nalbert,Bitencourt,100206,,0
BRA,Otto,Hofman Junior,100208,,0
CUB,Mayra,Ferrer Del Valle,100210,,1
GER,Jan,Fell,100212,,0
ARG,Ghillermo,Ghillermo,100213,,0
LTU,Saulis,Kestas,100214,,0
USA,Timothy or Tim,Walmer,100216,,0
BRA,José Geraldo,Loiola,100218,,0
USA,"Craig ""Hatter""",Moothart,100219,,0
ITA,Massimo,Rossato,100221,,0
ESP,"Santiago ""Santi""",Aguilera Sabine,100222,,0
GER,Andreas,Boltze,100223,,0
GER,Thomas,Brall,100224,,0
ARG,Alberto Jorge,Elgueta,100225,,0
ARG,Carlos Javier,Wuber,100226,,0
USA,Mark,Eller,100229,,0
RUS,Andrei,Tolochko,100232,,0
JPN,Katsumi,Kawano,100233,,0
JPN,Akihiko,Matsuda,100234,,0
JPN,Kenichi,Sakakura,100235,,0
USA,Rudy,Dvorak,100236,,0
JPN,Masafumi,Oura,100237,,0
JPN,Koichi,Kijima,100238,,0
JPN,"Yasunori ""Kuma""",Kumada,100239,,0
JPN,Masaji,Ogino,100240,,0
JPN,Hiroyuki,Yoneyama,100241,,0
GER,Lars-Bjorn,Freier,100242,,0
ARG,Fabio,Perez,100244,,0
CHI,Ricardo,Vorpahl,100245,,0
GER,Ariane,Radfan,100246,,1
USA,"Scott ""Freddy""",Friederichsen,100247,,0
